,Catégorie,Produit,Prix Habituel,Prix,Description
51, Minuman   Kopi   Kopi Bubuk/ Biji , Gadjah Kopi Tubruk Manis 2 In 1 10X25g,Rp 12.900,Rp9.900,"CARA PENGGUNAAN :
campurkan gadjah kopi tubruk dengan air panas 150ml, aduk rata dan siap disajikan

KOMPOSISI :
Kopi Bubuk 100%

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
25g

TAKARAN SAJI :
25g

PLU :
20112372"
52, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Kalosi Toraja 10X10g,Rp 38.600,Rp35.600,"CARA PENGGUNAAN :
Tuangkan 1 sendok makan bubuk kopi Excelso (10g) dan tambahkan air panas sekitar 200ml (80'C) lalu aduk rata.

KOMPOSISI :
Kopi Bubuk (100%)

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
10g

TAKARAN SAJI :
10g

PLU :
20108851"
53, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Arabica Gold 10X10g,Rp 28.000,Rp25.000,"CARA PENGGUNAAN :
Tuangkan 1 sendok makan bubuk kopi Excelso (10g) dan tambahkan air panas sekitar 180ml (90'C) lalu aduk rata.

KOMPOSISI :
Kopi Bubuk (100%)

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
10g

TAKARAN SAJI :
10g

PLU :
20108849"
54, Makanan   Bahan Kue   Pengemulsi , Koepoe Koepoe Tbm Besar 80G,Rp 15.100,Rp13.600,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Air, Pengemulasi Nabati, Humektan Sorbital, Gula, Dektrose, Pewarna Tartazin Cl 19140, Kuning FCF Cl 15985

PLU :
10038964"
55, Makanan   Bahan Kue   Pengemulsi , Koepoe-Koepoe Ovalett 30G,Rp 8.600,Rp7.700,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Air, Pengemulasi Nabati, Humektan Sorbital, Gula, Dektrose, Pewarna Tartazin Cl 19140, Kuning FCF Cl 15985

PLU :
10036828"
56, Makanan   Bahan Kue   Pengemulsi , Koepoe-Koepoe Sp 30G,Rp 9.000,Rp8.100,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Pengemulsi Nabati, Propilen Glikol, Humektan Sorbitol, Perisa Alami Vanilla, Pewarna Tartrazine CL 19140

PLU :
10036827"
57, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Custard Pisang & Cokelat,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Custard Pisang (mengandung potassium sorbate 0.12%, buah pisang 10%), Pasta Cokelat, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengelmulsi, Susu Skim Bubuk, Garam, Bubuk whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung.

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100666"
58, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Mentega Gula & Chocochip,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Air, Mentega Gula, Cokelat Chips, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100667"
59, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Choco Banana,,Rp13.500,"CARA PENANGANAN :
Agar lebih lama, simpan dalam lemari es setelah pembelian.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Tepung terigu, gula, garam, susu bubuk, lemak reroti, pengemulsi, ragi, kalsium propinat, pasta coklat, custard pisang.

TAKARAN PER KEMASAN :
Sajian per kemasan : 2

TAKARAN PER SERVING :
Energi total 12g, lemak jenuh 6g, kolesterol 0mg, protein 7g, karbohidrat total 47g, gula 9g, serat pangan 6g, natrium 180mg,

TAKARAN SAJI :
Takara saji : 90g

PLU :
20074955"
60, Produk Segar   Aneka Roti   Roti Manis , Arnon Roti Manis Choco Roll,Rp 7.000,Rp6.000,"CARA PENANGANAN :
Simpan di tempat yang kering (tidak lembab dan tidak terkena sinar matahari langsung)

CARA PENYIMPANAN :
Suhu Ruang

KOMPOSISI :
Tepung Terigu, Gula Pasir, Margarine, Minyak Sayur, Ragi, Telur, Kalsium Propionat, Air, Pasta Cokelat.

OTHER DETAILS :
Roti Lapis Selai Cokelat 60g

PLU :
20099290"
61, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Robusta Gold 200g,Rp 33.100,Rp30.100,"CARA PENGGUNAAN :
Ambil 1 sendok makan bubuk kopi excelso (7-8g), dan tuangkan kedalam cangkir. Tambahkan sekitar 200ml air panas lalu aduk rata. Waktu meyeduh optimal adalah 4 samapi 5 menit.

CARA PENYIMPANAN :
Simpan dalam wadah kedap udara ditempat kering dan sejuk.

KOMPOSISI :
Kopi bubuk (100%)

PLU :
20099141"
62, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Taro,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Sirup Fruktosa, Tepung Kentang, Susu Kental Manis, Perisa Artifisial (Taro, Vanila), Ragi, Tepung Gluten, Margarin, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN SAJI :
Takaran saji: 50g

PLU :
20094695"
63, Minuman   Kopi   Kopi Bubuk/ Biji , Pikopi Kopi Mix Instant 3 In 1 9X20g,Rp 6.000,Rp5.400,"CARA PENGGUNAAN :
Seduh dengan air panas 150ml

KOMPOSISI :
Gula, krimer nabati, kopi instan, pemanis alami glikosida steviol.

TAKARAN PER KEMASAN :
Sajian per kemasan: 10

TAKARAN PER SERVING :
Energi total 90kkal, energi dari lemak 20kkal, lemak total 2g, lemak jenuh 2g, protein 1g, karbohidrat total 17g, serat pangan 1g, gula total 11g, natrium 30mg. Vitamin C 10%, kalsium 2%, zat besi 4%.

TAKARAN SAJI :
Takaran saji: 20g

PLU :
20098168"
64, Minuman   Kopi   Kopi Bubuk/ Biji , Top Coffee Kopi Cappuccino 6X25g,Rp 9.200,Rp8.200,"CARA PENGGUNAAN :
Panas: Seduh 1 sachet dengan 150mL air panas 80 derajat C. Aduk hingga rata dan kopi siap disajikan. Dingin: Seduh 1 sachet dengan 75mL air panas 80 derajat C. Aduk hingga rata dan tambahkan es 75g kopi siap disajikan.

KOMPOSISI :
Gula, krimer nabati, kopi bubuk, susu skim bubuk, cokelat butir, perisa sintetil cappucino.

PLU :
20095226"
65, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Moka,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Susu Kental Manis, Sirup Fruktosa, Margarin, Tepung Kentang, Ragi, Tepung Gluten, Pengemulsi, Susu Skim Bubuk, Garam, Kopi Bubuk (0.1%), Perisa Artifisial (Moka, Vanila, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Simpan di Tempat Sejuk dan Kering

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20091811"
66, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Keju,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Keju (3,4%), Sirup Fruktosa, Tepung Kentang, Ragi, Tepung Gluten, Bubuk Whey, Margarin Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Keju, Perisa Artifisial (Vanila, Keju, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
Energi total 190kkal, energi dari lemak 70kkal, lemak total 8g, lemak jenuh 4.5g, lemak trans 0g, kolesterol 0g, protein 5g, karbohidrat total 24g, gula 6g, serat pangan 4g, natrium 240mg.

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20090501"
67, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Big Burger 32G,,Rp3.900,"CARA PENYIMPANAN :
Simpan di tempat kering di bawah susu 35 C. hindarkan dari sinar matahari langsung.

KOMPOSISI :
Sirup glukosa, gula, air, penstabil, pemanis alami sorbitol, pengatur keasaman (asam sitrat, asam laktat), protein susu, pelapis (malam, lilin karnauba), konsentrat buah apel, perisa sintetik stroberi, nanas, apel,krim, pewarna karmin CI75470, klorofil dan klorofilin tembaga kompleks CI75815, kurkumin CI75300, beta karoten CI75130.

OTHER DETAILS :
Yupi big burger, Kembang gula lunak jeli aneka rasa Stroberi, nanas, apel krim.

PERHATIAN :
Konsumsi berlebihan mempunyai efek laksatif.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 110kkal, energi dari lemak 0kkal, lemak total 0g, protein 2g, karbohidrat total 26g, gula 18g, natrium 5mg.

TAKARAN SAJI :
Takaran saji : 32g

PLU :
20080530"
68, Makanan   Cokelat & Permen   Permen , Frozz Candy Cool Mint 15G,,Rp8.400,"CARA PENANGANAN :
Konsumsi berlebihan dapat menyebabkan efek laksatif.

KOMPOSISI :
Pemanis alami sorbitol, anti kempal magnesium stearat, mentol, perisa artifisial cooling, perisa alami mint, pewarna makanan (biru berlian FCF CI42090, tartrazin CI19140).

OTHER DETAILS :
Frozz rasa cool mint, Permen bebas gula.

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi total 0kkal, lemak total 0g, protein 0g, karbohidrat total 1g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran Saji : 3 butir

PLU :
20076292"
69, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Big Frank 32G,,Rp3.900,"KOMPOSISI :
Sirop glukosa, gula, air, bahan penstabil (gelatin sapi), humektan (sorbitol), pengaturs keasaman (asam sitrat, asam laktat), protein, susu, perisa buah-buahan, bahan pelapis: Minyak nabati, pewarna: tartrasin CI 19140 (E102), merah alura CI 16035 (E129).

PLU :
20052776"
70, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Keju,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
tepung terigu, air, es, keju spreadable, pasta cokelat, air , margarin, susu lemak nabati, keju cheddar, lemak reroti, ragi, garam, perlakuan tepung, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20069665"
71, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Jagung Manis,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070038"
72, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Vanila,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

OTHER DETAILS :
PRIME BREAD ROTI MANIS VANILLA

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070039"
73, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Cokelat,,Rp4.000,"CARA PENYIMPANAN :
SIMPAN DI TEMPAT SEJUK DAN KERING

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang,

PERHATIAN :
JANGAN TERKENA SINAR MATAHARI LANGSUNG

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070041"
74, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Susu,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, air, es, krim susu, pasta cokelat, gula, susu bubuk, ragi, lemak reroti nabati, garam, perlakuan tepung dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20070168"
75, Minuman   Kopi   Kopi Bubuk/ Biji , Good Day Kopi Instant Cappuccino W/Coklat Granul 10X25g,Rp 19.100,Rp16.500,"CARA PENGGUNAAN :
Tuangkan 1 sachet dan tambhakan air 150mL dengan air mendidih. Kopi siap untuk disajikan.

KOMPOSISI :
Gula, krimer nabati, kopi instant, gula tebu, coklat bubuk perisa cappucinno.

PLU :
20031318"
76, Minuman   Kopi   Kopi Bubuk/ Biji , Luwak White Koffie 3 Rasa 10X20g,Rp 13.500,Rp11.500,"CARA PENGGUNAAN :
Tuangkan seluruh isi pack dalam gelas, tambahkan 180cc air mendidih, aduk dan siap disajikan.

KOMPOSISI :
Krimer (glucose syrup), vegetable oil, sodium caseinate (mengandung protein susu), emulsifier E471, Stabilizer E340, anti caking agent (E554), Colour E160a, gula, kopi rendah asam.

OTHER DETAILS :
Luwak White Koffie 3 Rasa 10x20g adalah kopi luwak terbaik asli Indonesia. Dihasilkan dari biji kopi terbaik yang sulit ditemukan karena memiliki karakteristik unik yang hanya tumbuh di Sumatera dan pulau Jawa. Luwak Coffee diolah melalui proses fermentas

TAKARAN PER KEMASAN :
Sajian per kemasan: 10

TAKARAN PER SERVING :
Calories 110kcal, calories from fat 25kcal. % daily value: Total fat 4%, saturated fat 13%, trans fat 0g, cholesterol 0%, sodium 1%, total carbohydrate 7%, dietary fiber 0%, sugars 11g, protein 1g, vitamin A 0%, vitamin C 0%, calcium 1%, iron 1%.

TAKARAN SAJI :
Takaran saji: 20g

PLU :
20055300"
77, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Fresh Mint 30G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1356mg/saji), menthol 1134mg/saji), gum base, gum arab, perisa mint, gliserin, sheliac (mengandung etanol, kalsium fosfat, ekstrak rumput laut, gelatin sapi, kamauba wax, pemanis buatas aspartan (0.33mg/saji), pewarna makanan (biru berlian CI 42090/E133).

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20025350"
78, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Arabica 100g,Rp 26.700,Rp23.700,"CARA PENYIMPANAN :
Untuk menjaga rasa kopi dan kesegaran aromanya, simpan kopi excelso dalam wadah kedap udara atau kotak vakum dan letakkan di tempat yang kering dan sejuk. Jauhkan dari sinar matahari.

TAKARAN PER KEMASAN :
Sajian per kemasan: 14

TAKARAN PER SERVING :
Energi total 30kkal, energi dari lemak 18kkal. % AKG: Lemak total 1g, lemak jenuh 1g, lemak trans 0g, kolesterol 0mg, protein 1g, karbohidrat total 5g, serat pangan 4g, gula 0g, natrium 0mg, kalium 110mg.

TAKARAN SAJI :
Takaran saji: 7g

PLU :
20022693"
79, Minuman   Kopi   Kopi Bubuk/ Biji , Luwak Kopi Bubuk Murni 165G,Rp 10.900,Rp9.900,"CARA PENGGUNAAN :
Tuangkan satu sendok kopi luwak ke dalam cangkir, seduh dengan air mendidih 200ml. Aduk rata dan hidangkan.

KOMPOSISI :
Kopi bubuk

PLU :
20049772"
80, Ibu & Anak   Perlengkapan Bayi , Johnsons Baby Lotion Soap Blossoms 100G,Rp 5.700,Rp4.900,"BERAT :
120g

DESKRIPSI :
JOHNSONS BABY LOTION SOAP BLOSSOMS BAR 100g

JENIS :
BLOSSOMS

KOMPOSISI :
Sodium palmate, sodium palm kenelate, fragrance, titanium dioxide, mineral oil, glycerin, water, tetrasodium EDTA, etidronic acid, CI 26100.

MERK :
JOHNSONS

NAMA :
BABY LOTION SOAP

SIZE :
9x5.6x3cm

PLU :
20017057"
81, Makanan   Cokelat & Permen   Permen , Frozz Candy Mint 15G,,Rp7.000,"KOMPOSISI :
Pemanis buatan Sorbitol (97%), Anti kempal Magnesium Stearat, Perisa Mint

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10037001"
82, Makanan   Cokelat & Permen   Permen , Frozz Candy Cherry Mint 15G,,Rp8.400,"KOMPOSISI :
Sorbitol, Anti kempal Magnesium Stearat, Perisa Ceri, Perisa Mint, Pewarna Makanan (Karmoisin CI 14720)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10003491"
83, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Jeruk Nipis Mint 30G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1044mg/saji), menthol 933mg/saji), gum base, gum arab, perisa jeruk nipis, perisa menthol, sheliac (mengandung etanol, kalsium fosfat, ekstrak rumput laut, gelatin sapi, kamauba wax, pewarna makanan sintetik (tartrazin CI 19140E.102.

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20021339"
84," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Obat Batuk Berdahak Menthol 100Ml,Rp 14.300,Rp12.800,"CARA PENGGUNAAN :
Dewasa:

CARA PENYIMPANAN :
Simpan di bawah suhu 30 C

KOMPOSISI :
Tiap 5mL sirup mengandung:

OTHER DETAILS :
OBH COMBI BATUK BERDAHAK MENTHOL 100ML merupakan obat batuk dengan rasa menthol yang sangat menyegarkan dan sangat ampuh mengusir batuk yang berdahak

PLU :
10037392"
85," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Laserin Obat Batuk 110Ml,Rp 22.000,Rp19.000,"CARA PENGGUNAAN :
Dewasa: 3 x sehari 1-2 sendok makan.

KOMPOSISI :
Tiap sendok makan (15mL) mengandung:

OTHER DETAILS :
Laserin sirup obat batuk dan asthma 110mL

PLU :
10002978"
86, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Pizza 23G,,Rp3.000,"CARA PENYIMPANAN :
Simpan di tempat dingin dan kering

KOMPOSISI :
Sirup Glukosa, Gula, Air, Sari buah Pir / Apel, Penstabil (Gelatin sapi), Humektan (Sorbitol), Pengatur Keasaman (Asam Sitrat, Asam Laktat), Protein susu, Bahan Pelapis (Minyak Nabati), KarnaubaWax (mengandung Antioksidan Tokoferol), Vitamin C, Perisa : Stroberi, Nanas, Pewarna : Kurkumin CI 75300, Kuning FCF CI 15985, Merah Allura CI 16035, Titanium Dioksida CI 77891, Karamel E150c, Paprika E160c

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi Total : 78kkal, Energi dari Lemak 0g, Lemak total 0g, Protein 1g, Karbohidrat Total 18g, Gula 79g, Natrium 11mg, Vitamin C 4mg

TAKARAN SAJI :
Takaran saji : 23g

PLU :
20048724"
87, Minuman   Kopi   Kopi Bubuk/ Biji , Top Coffee Kopi Gula Susu 3 In 1 10X31g,Rp 10.000,Rp8.900,"CARA PENGGUNAAN :
Tuang 1 sachet TOP kopi susu ke dalam cangkir. Seduh dengan 175ml air mendidih. Aduk hingga rata dan kopi siap disajikan.

KOMPOSISI :
Gula, Krimer nabati, Kopi bubuk, Susu bubuk.

PLU :
20041562"
88, Makanan   Cokelat & Permen   Permen , Frozz Candy Barley Mint 15G,,Rp8.400,"KOMPOSISI :
Pemanis buatan Sorbitol (97%), Anti kempal Magnesium Stearat, Perisa Barley Mint, Pewarna Makanan (Biru Berlian CI 42090)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
10003481"
89, Makanan   Cokelat & Permen   Permen , Lotte Chewing Gum Sugar Free Xylitol Blueberry Mint 27.5G,Rp 8.400,Rp6.400,"KOMPOSISI :
Pemanis buatan (silitol 1119mg/saji), menthol 984mg/saji), gum base, perisa bluberi, gum arab, perisa menthol, sheliac (mengandung etanol, kalsium fosfat, pemanis buatan aspartan 1.55, ekstrak rumput laut, kamauba wax, pewarna makanan sintetik.

OTHER DETAILS :
Permen karet dengan xylitol dapat mengurangi resiko karies gigi dan 2 bahan aktifnya ekstrak rumput laut dan kalsium fosfat mendukung proses memineralisasi untuk gigi lebih kuat.

PERHATIAN :
Silitol dapat mengurangi risiko karies gigi.

TAKARAN PER KEMASAN :
Sajian per kemasan : 10

TAKARAN PER SERVING :
Energi total 10kkal, lemak total 0g. % AKG: protein 0g, karbohidrat total 3g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran saji 2btr:3g

PLU :
20021340"
90, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Pandan Coklat Srikaya,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu,air, es, antioksidan, perisa pandan sintetik, pasta cokelat, pasta sarikaya, gula pasir, margarin, santan kelapa bubuk, ragi, lemak reroti, garam, pengembang, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20041084"
91," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Sirup Obat Batuk Anak Strawberry 60Ml,Rp 17.700,Rp16.200,"CARA PENANGANAN :
Tidak boleh diberikan pada penderita yang peka terhadap obat simpatomimetik lain (Misal: Feniletin, ephedrine, fenilpropanolamin), penderita tekanan tekanan darah tinggi.

CARA PENGGUNAAN :
Umur 2-5 tahun: 3 x 5mL sehari

CARA PENYIMPANAN :
Simpan dibawah suhu 30 C dan terlindungi dari cahaya sinar matahari.

KOMPOSISI :
Tiap 5 mL sirup mengandung:

OTHER DETAILS :
OBH combi anak batuk plus flu: OBH, Paracetamol, Pseudoephedrine HCI, Chlorpheniramine Maleate.

PERHATIAN :
Hati-hati penggunaan pada penderita dengan gangguan fungsi hati dan ginjal, glaukoma, hipertiroid dan retensi urine.

PLU :
10008599"
92," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu & Sakit Tenggorokan ", Obh Combi Obat Batuk Plus Flu Menthol 100Ml,Rp 19.600,Rp18.100,"CARA PENANGANAN :
Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.

CARA PENGGUNAAN :
Dewasa dan anak-anak diatas 12 tahun : Sehari, 3 x 3 sendok takar (@ 5 mL).

CARA PENYIMPANAN :
Simpan di bawah suhu 30 derajat celcius.

KOMPOSISI :
Tiap 5 mL sirup mengandung:

OTHER DETAILS :
Untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.

PERHATIAN :
Awas! Obat Keras. Bacalah aturan memakainya.

PLU :
10000289"
93, Makanan   Cokelat & Permen   Permen , Frozz Candy Blueberry Mint 15G,,Rp8.400,"KOMPOSISI :
Sorbitol (356mg/butir), Magnesium Stearat, Perisa Bluberry, Mentol, Pewarna Makanan (Karmoisin CI 14720, Biru Berlian CI 42090)

PERHATIAN :
Mengandung Pemanis Buatan, Konsumsi Berlebihan dapat menyebabkan efek Laksatif

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi Total 0g, Lemak total 0g, Protein 0g, Karbohidrat Total 1g, Gula 0g, Natrium 0mg

TAKARAN SAJI :
Takaran Saji : 1.1g

PLU :
20014081"
